tamil,brahmi
கொன்றாய் குருந்தாய் கொடி முல்லாய் வாடினீர்,𑀓𑁅𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀬𑀺 𑀓𑀼𑀭𑀼𑀦𑀺𑀢𑀸𑀬𑀺 𑀓𑁅𑀝𑀺 𑀫𑀼𑀮𑀺𑀮𑀸𑀬𑀺 𑀯𑀸𑀝𑀺𑀦𑁆𑀦𑀻𑀭𑀺
நின்றேன் அறிந்தேன் நெடுங்கண்ணாள் சென்றாளுக்கு,𑀦𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑁃𑀦𑁆𑀦𑀺 𑀅𑀭𑁆𑀭𑀺𑀦𑀺𑀢𑁃𑀦𑁆𑀦𑀺 𑀦𑁂𑀝𑀼𑀗𑀺𑀓𑀡𑀺𑀡𑀸𑀴𑀺 𑀘𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀴𑀼𑀓𑀺𑀓𑀼
என்னுரைத்தீர்க்கு என்னுரைத்தாட்கு என்னுரைத்தீர்க்கு என்னுரைத்தாள்,𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀼𑀭𑁄𑀢𑀺𑀢𑀻𑀭𑀺𑀓𑀺𑀓𑀼 𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀼𑀭𑁄𑀢𑀺𑀢𑀸𑀝𑀺𑀓𑀼 𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀼𑀭𑁄𑀢𑀺𑀢𑀻𑀭𑀺𑀓𑀺𑀓𑀼 𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀼𑀭𑁄𑀢𑀺𑀢𑀸𑀴𑀺
மின்னுரைத்த பூண்மிளிர விட்டு,𑀫𑀺𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀼𑀭𑁄𑀢𑀺𑀢 𑀧𑀽𑀡𑀺𑀫𑀺𑀴𑀺𑀭 𑀯𑀺𑀝𑀺𑀝𑀼
ஆண்கட னாம்ஆற்றை ஆயுங்கால் ஆடவர்க்குப்,𑀆𑀡𑀺𑀓𑀝 𑀦𑁆𑀦𑀸𑀫𑀺𑀆𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑁄 𑀆𑀬𑀼𑀗𑀺𑀓𑀸𑀮𑀺 𑀆𑀝𑀯𑀭𑀺𑀓𑀺𑀓𑀼𑀧𑀺
பூண்கடனாப் போற்றிப் புரிந்தமையால் பூண்கடனாச்,𑀧𑀽𑀡𑀺𑀓𑀝𑀦𑁆𑀦𑀸𑀧𑀺 𑀧𑁆𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀺𑀧𑀺 𑀧𑀼𑀭𑀺𑀦𑀺𑀢𑀫𑁄𑀬𑀸𑀮𑀺 𑀧𑀽𑀡𑀺𑀓𑀝𑀦𑁆𑀦𑀸𑀘𑀺
செய்பொருட்குச் செல்வரால் சின்மொழி நீசிறிது,𑀘𑁂𑀬𑀺𑀧𑁅𑀭𑀼𑀝𑀺𑀓𑀼𑀘𑀺 𑀘𑁂𑀮𑀺𑀯𑀭𑀸𑀮𑀺 𑀘𑀺𑀦𑁆𑀦𑀺𑀫𑁅𑀰𑀺 𑀦𑀻𑀘𑀺𑀭𑁆𑀭𑀺𑀢𑀼
நைபொருட்கண் செல்லாமை நன்று,𑀦𑁄𑀧𑁅𑀭𑀼𑀝𑀺𑀓𑀡𑀺 𑀘𑁂𑀮𑀺𑀮𑀸𑀫𑁄 𑀦𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼
செல்பவோ சிந்தனையும் ஆகாதே நெஞ்செரியும்,𑀘𑁂𑀮𑀺𑀧𑀯𑁆 𑀘𑀺𑀦𑀺𑀢𑀦𑁆𑀦𑁄𑀬𑀼𑀫𑀺 𑀆𑀓𑀸𑀢𑁃 𑀦𑁂𑀜𑀺𑀘𑁂𑀭𑀺𑀬𑀼𑀫𑀺
வெல்பவோ சென்றார் வினைமுடிய நல்லாய்,𑀯𑁂𑀮𑀺𑀧𑀯𑁆 𑀘𑁂𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀭𑀺 𑀯𑀺𑀦𑁆𑀦𑁄𑀫𑀼𑀝𑀺𑀬 𑀦𑀮𑀺𑀮𑀸𑀬𑀺
இதடி கரையும்கல் மாபோலத் தோன்றுச்,𑀇𑀢𑀝𑀺 𑀓𑀭𑁄𑀬𑀼𑀫𑀺𑀓𑀮𑀺 𑀫𑀸𑀧𑁆𑀮𑀢𑀺 𑀢𑁆𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼𑀘𑀺
சிதடி கரையும் திரிந்து,𑀘𑀺𑀢𑀝𑀺 𑀓𑀭𑁄𑀬𑀼𑀫𑀺 𑀢𑀺𑀭𑀺𑀦𑀺𑀢𑀼
கள்ளியங் காட்ட கடமா இரிந்தோடத்,𑀓𑀴𑀺𑀴𑀺𑀬𑀗𑀺 𑀓𑀸𑀝𑀺𑀝 𑀓𑀝𑀫𑀸 𑀇𑀭𑀺𑀦𑀺𑀢𑁆𑀝𑀢𑀺
தள்ளியும் செல்பவோ தம்முடையார் கொள்ளும்,𑀢𑀴𑀺𑀴𑀺𑀬𑀼𑀫𑀺 𑀘𑁂𑀮𑀺𑀧𑀯𑁆 𑀢𑀫𑀺𑀫𑀼𑀝𑁄𑀬𑀸𑀭𑀺 𑀓𑁅𑀴𑀺𑀴𑀼𑀫𑀺
பொருளில ராயினும் பொங்கெனப்போந்து எய்யும்,𑀧𑁅𑀭𑀼𑀴𑀺𑀮 𑀭𑀸𑀬𑀺𑀦𑁆𑀦𑀼𑀫𑀺 𑀧𑁅𑀗𑀺𑀓𑁂𑀦𑁆𑀦𑀧𑀺𑀧𑁆𑀦𑀺𑀢𑀼 𑀏𑀬𑀺𑀬𑀼𑀫𑀺
அருளில் மறவர் அதர்,𑀅𑀭𑀼𑀴𑀺𑀮𑀺 𑀫𑀭𑁆𑀭𑀯𑀭𑀺 𑀅𑀢𑀭𑀺
பொருள் பொருள் என்றார்சொல் பொன்போலப் போற்றி,𑀧𑁅𑀭𑀼𑀴𑀺 𑀧𑁅𑀭𑀼𑀴𑀺 𑀏𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀭𑀺𑀘𑁅𑀮𑀺 𑀧𑁅𑀦𑁆𑀦𑀺𑀧𑁆𑀮𑀧𑀺 𑀧𑁆𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀺
அருள்பொருள் ஆகாமை யாக அருளான்,𑀅𑀭𑀼𑀴𑀺𑀧𑁅𑀭𑀼𑀴𑀺 𑀆𑀓𑀸𑀫𑁄 𑀬𑀸𑀓 𑀅𑀭𑀼𑀴𑀸𑀦𑁆𑀦𑀺
வளமை கொணரும் வகையினால் மற்றோர்,𑀯𑀴𑀫𑁄 𑀓𑁅𑀡𑀭𑀼𑀫𑀺 𑀯𑀓𑁄𑀬𑀺𑀦𑁆𑀦𑀸𑀮𑀺 𑀫𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑁆𑀭𑀺
இளமை கொணர இசை,𑀇𑀴𑀫𑁄 𑀓𑁅𑀡𑀭 𑀇𑀘𑁄
ஒல்வார் உளரேல் உரையாய் ஒழியாது,𑀒𑀮𑀺𑀯𑀸𑀭𑀺 𑀉𑀴𑀭𑁃𑀮𑀺 𑀉𑀭𑁄𑀬𑀸𑀬𑀺 𑀒𑀰𑀺𑀬𑀸𑀢𑀼
செல்வார்என் றாய்நீ சிறந்தாயே செல்லாது,𑀘𑁂𑀮𑀺𑀯𑀸𑀭𑀺𑀏𑀦𑁆𑀦𑀺 𑀭𑁆𑀭𑀸𑀬𑀺𑀦𑀻 𑀘𑀺𑀭𑁆𑀭𑀦𑀺𑀢𑀸𑀬𑁃 𑀘𑁂𑀮𑀺𑀮𑀸𑀢𑀼
அசைந்தொழிந்த யானை பசியால்ஆள் பார்த்து,𑀅𑀘𑁄𑀦𑀺𑀢𑁅𑀰𑀺𑀦𑀺𑀢 𑀬𑀸𑀦𑁆𑀦𑁄 𑀧𑀘𑀺𑀬𑀸𑀮𑀺𑀆𑀴𑀺 𑀧𑀸𑀭𑀺𑀢𑀺𑀢𑀼
மிசைந்தொழியும் அத்தம் விரைந்து,𑀫𑀺𑀘𑁄𑀦𑀺𑀢𑁅𑀰𑀺𑀬𑀼𑀫𑀺 𑀅𑀢𑀺𑀢𑀫𑀺 𑀯𑀺𑀭𑁄𑀦𑀺𑀢𑀼
ஒன்றானும் நாம்மொழிய லாமோ செலவுதான்,𑀒𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀦𑁆𑀦𑀼𑀫𑀺 𑀦𑀸𑀫𑀺𑀫𑁅𑀰𑀺𑀬 𑀮𑀸𑀫𑁆 𑀘𑁂𑀮𑀯𑀼𑀢𑀸𑀦𑁆𑀦𑀺
பின்றாது பேணும் புகழான்பின் பின்றா,𑀧𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀢𑀼 𑀧𑁃𑀡𑀼𑀫𑀺 𑀧𑀼𑀓𑀰𑀸𑀦𑁆𑀦𑀺𑀧𑀺𑀦𑁆𑀦𑀺 𑀧𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸
வெலற்கரிதாம் வில்வலான் வேல்விடலை பாங்காச்,𑀯𑁂𑀮𑀭𑁆𑀭𑀺𑀓𑀭𑀺𑀢𑀸𑀫𑀺 𑀯𑀺𑀮𑀺𑀯𑀮𑀸𑀦𑁆𑀦𑀺 𑀯𑁃𑀮𑀺𑀯𑀺𑀝𑀮𑁄 𑀧𑀸𑀗𑀺𑀓𑀸𑀘𑀺
செலற்கு அரிதாச் சேய சுரம்,𑀘𑁂𑀮𑀭𑁆𑀭𑀺𑀓𑀼 𑀅𑀭𑀺𑀢𑀸𑀘𑀺 𑀘𑁃𑀬 𑀘𑀼𑀭𑀫𑀺
அல்லாத என்னையும் தீரமற்று ஐயன்மார்,𑀅𑀮𑀺𑀮𑀸𑀢 𑀏𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁄𑀬𑀼𑀫𑀺 𑀢𑀻𑀭𑀫𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀼 𑀑𑀬𑀦𑁆𑀦𑀺𑀫𑀸𑀭𑀺
பொல்லாத தென்பது நீபொருந்தாய் எல்லார்க்கும்,𑀧𑁅𑀮𑀺𑀮𑀸𑀢 𑀢𑁂𑀦𑁆𑀦𑀺𑀧𑀢𑀼 𑀦𑀻𑀧𑁅𑀭𑀼𑀦𑀺𑀢𑀸𑀬𑀺 𑀏𑀮𑀺𑀮𑀸𑀭𑀺𑀓𑀺𑀓𑀼𑀫𑀺
வல்லி ஒழியின் வகைமைநீள் வாட்கண்ணாய்,𑀯𑀮𑀺𑀮𑀺 𑀒𑀰𑀺𑀬𑀺𑀦𑁆𑀦𑀺 𑀯𑀓𑁄𑀫𑁄𑀦𑀻𑀴𑀺 𑀯𑀸𑀝𑀺𑀓𑀡𑀺𑀡𑀸𑀬𑀺
புல்லி ஒழிவான் புலந்து,𑀧𑀼𑀮𑀺𑀮𑀺 𑀒𑀰𑀺𑀯𑀸𑀦𑁆𑀦𑀺 𑀧𑀼𑀮𑀦𑀺𑀢𑀼
நண்ணிநீர் சென்மின் நமர்அவர் ஆபவேல்,𑀦𑀡𑀺𑀡𑀺𑀦𑀻𑀭𑀺 𑀘𑁂𑀦𑁆𑀦𑀺𑀫𑀺𑀦𑁆𑀦𑀺 𑀦𑀫𑀭𑀺𑀅𑀯𑀭𑀺 𑀆𑀧𑀯𑁃𑀮𑀺
எண்ணிய எண்ணம் எளிதரா எண்ணிய,𑀏𑀡𑀺𑀡𑀺𑀬 𑀏𑀡𑀺𑀡𑀫𑀺 𑀏𑀴𑀺𑀢𑀭𑀸 𑀏𑀡𑀺𑀡𑀺𑀬
வெஞ்சுடர் அன்னானை யான்கண்டேன் கண்டாளாம்,𑀯𑁂𑀜𑀺𑀘𑀼𑀝𑀭𑀺 𑀅𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸𑀦𑁆𑀦𑁄 𑀬𑀸𑀦𑁆𑀦𑀺𑀓𑀡𑀺𑀝𑁃𑀦𑁆𑀦𑀺 𑀓𑀡𑀺𑀝𑀸𑀴𑀸𑀫𑀺
தண்சுடர் அன்னாளைத் தான்,𑀢𑀡𑀺𑀘𑀼𑀝𑀭𑀺 𑀅𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀸𑀴𑁄𑀢𑀺 𑀢𑀸𑀦𑁆𑀦𑀺
வேறாக நின்னை வினவுனேன் தெய்வத்தால்,𑀯𑁃𑀭𑁆𑀭𑀸𑀓 𑀦𑀺𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑁄 𑀯𑀺𑀦𑁆𑀦𑀯𑀼𑀦𑁆𑀦𑁃𑀦𑁆𑀦𑀺 𑀢𑁂𑀬𑀺𑀯𑀢𑀺𑀢𑀸𑀮𑀺
கூறாயோ கூறுங் குணத்தினனாய் வேறாக,𑀓𑀽𑀭𑁆𑀭𑀸𑀬𑁆 𑀓𑀽𑀭𑁆𑀭𑀼𑀗𑀺 𑀓𑀼𑀡𑀢𑀺𑀢𑀺𑀦𑁆𑀦𑀦𑁆𑀦𑀸𑀬𑀺 𑀯𑁃𑀭𑁆𑀭𑀸𑀓
என்மனைக்கு ஏறக்கொணருமோ வெல்வளையைத்,𑀏𑀦𑁆𑀦𑀺𑀫𑀦𑁆𑀦𑁄𑀓𑀺𑀓𑀼 𑀐𑀭𑁆𑀭𑀓𑀺𑀓𑁅𑀡𑀭𑀼𑀫𑁆 𑀯𑁂𑀮𑀺𑀯𑀴𑁄𑀬𑁄𑀢𑀺
தன்மனைக்கே உய்க்குமோ தான்,𑀢𑀦𑁆𑀦𑀺𑀫𑀦𑁆𑀦𑁄𑀓𑀺𑀓𑁃 𑀉𑀬𑀺𑀓𑀺𑀓𑀼𑀫𑁆 𑀢𑀸𑀦𑁆𑀦𑀺
கள்ளிசார் காரோமை நாரில்பூ நீள்முருங்கை,𑀓𑀴𑀺𑀴𑀺𑀘𑀸𑀭𑀺 𑀓𑀸𑀭𑁆𑀫𑁄 𑀦𑀸𑀭𑀺𑀮𑀺𑀧𑀽 𑀦𑀻𑀴𑀺𑀫𑀼𑀭𑀼𑀗𑀺𑀓𑁄
நற்றியவேய் வாழ்பவர் நண்ணுபவோ புள்ளிப்,𑀦𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀺𑀬𑀯𑁃𑀬𑀺 𑀯𑀸𑀰𑀺𑀧𑀯𑀭𑀺 𑀦𑀡𑀺𑀡𑀼𑀧𑀯𑁆 𑀧𑀼𑀴𑀺𑀴𑀺𑀧𑀺
பருந்து கழுகொடு வம்பலர்ப் பார்த்தாண்டு,𑀧𑀭𑀼𑀦𑀺𑀢𑀼 𑀓𑀰𑀼𑀓𑁅𑀝𑀼 𑀯𑀫𑀺𑀧𑀮𑀭𑀺𑀧𑀺 𑀧𑀸𑀭𑀺𑀢𑀺𑀢𑀸𑀡𑀺𑀝𑀼
இருந்துறங்க வீயும் இடம்,𑀇𑀭𑀼𑀦𑀺𑀢𑀼𑀭𑁆𑀭𑀗𑀺𑀓 𑀯𑀻𑀬𑀼𑀫𑀺 𑀇𑀝𑀫𑀺
செல்பவோ தம்மடைந்தார் சீரழியச் சிள்துவன்றிக்,𑀘𑁂𑀮𑀺𑀧𑀯𑁆 𑀢𑀫𑀺𑀫𑀝𑁄𑀦𑀺𑀢𑀸𑀭𑀺 𑀘𑀻𑀭𑀰𑀺𑀬𑀘𑀺 𑀘𑀺𑀴𑀺𑀢𑀼𑀯𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀺𑀓𑀺
கொல்பபோல் கூப்பிடும் வெங்கதிரோன் மல்கிப்,𑀓𑁅𑀮𑀺𑀧𑀧𑁆𑀮𑀺 𑀓𑀽𑀧𑀺𑀧𑀺𑀝𑀼𑀫𑀺 𑀯𑁂𑀗𑀺𑀓𑀢𑀺𑀭𑁆𑀦𑁆𑀦𑀺 𑀫𑀮𑀺𑀓𑀺𑀧𑀺
பொடிவெந்து பொங்கிமேல் வான்சுடும் கீழால்,𑀧𑁅𑀝𑀺𑀯𑁂𑀦𑀺𑀢𑀼 𑀧𑁅𑀗𑀺𑀓𑀺𑀫𑁃𑀮𑀺 𑀯𑀸𑀦𑁆𑀦𑀺𑀘𑀼𑀝𑀼𑀫𑀺 𑀓𑀻𑀰𑀸𑀮𑀺
அடிவெந்து கண்சுடும் ஆறு,𑀅𑀝𑀺𑀯𑁂𑀦𑀺𑀢𑀼 𑀓𑀡𑀺𑀘𑀼𑀝𑀼𑀫𑀺 𑀆𑀭𑁆𑀭𑀼
முல்லை,𑀫𑀼𑀮𑀺𑀮𑁄
நிலம் காடும் காடு சார்ந்த இடமும்,𑀦𑀺𑀮𑀫𑀺 𑀓𑀸𑀝𑀼𑀫𑀺 𑀓𑀸𑀝𑀼 𑀘𑀸𑀭𑀺𑀦𑀺𑀢 𑀇𑀝𑀫𑀼𑀫𑀺
ஒழுக்கம் ஆற்றி இருத்தலும் அதன் நிமித்தமும்,𑀒𑀰𑀼𑀓𑀺𑀓𑀫𑀺 𑀆𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀺 𑀇𑀭𑀼𑀢𑀺𑀢𑀮𑀼𑀫𑀺 𑀅𑀢𑀦𑁆𑀦𑀺 𑀦𑀺𑀫𑀺𑀢𑀺𑀢𑀫𑀼𑀫𑀺
கருங்கடல் மாந்திய வெண்தலைக் கொண்மூ,𑀓𑀭𑀼𑀗𑀺𑀓𑀝𑀮𑀺 𑀫𑀸𑀦𑀺𑀢𑀺𑀬 𑀯𑁂𑀡𑀺𑀢𑀮𑁄𑀓𑀺 𑀓𑁅𑀡𑀺𑀫𑀽
இருங்கடல்மா கொன்றான்வேல் மின்னிப் பெருங்கடல்,𑀇𑀭𑀼𑀗𑀺𑀓𑀝𑀮𑀺𑀫𑀸 𑀓𑁅𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀸𑀦𑁆𑀦𑀺𑀯𑁃𑀮𑀺 𑀫𑀺𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀺𑀧𑀺 𑀧𑁂𑀭𑀼𑀗𑀺𑀓𑀝𑀮𑀺
தன்போல் முழங்கித் தளவம் குருந்தனைய,𑀢𑀦𑁆𑀦𑀺𑀧𑁆𑀮𑀺 𑀫𑀼𑀰𑀗𑀺𑀓𑀺𑀢𑀺 𑀢𑀴𑀯𑀫𑀺 𑀓𑀼𑀭𑀼𑀦𑀺𑀢𑀦𑁆𑀦𑁄𑀬
என்கொல்யான் ஆற்றும் வகை,𑀏𑀦𑁆𑀦𑀺𑀓𑁅𑀮𑀺𑀬𑀸𑀦𑁆𑀦𑀺 𑀆𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀼𑀫𑀺 𑀯𑀓𑁄
பகல்பருகிப் பல்கதிர் ஞாயிறுகல் சேர,𑀧𑀓𑀮𑀺𑀧𑀭𑀼𑀓𑀺𑀧𑀺 𑀧𑀮𑀺𑀓𑀢𑀺𑀭𑀺 𑀜𑀸𑀬𑀺𑀭𑁆𑀭𑀼𑀓𑀮𑀺 𑀘𑁃𑀭
இகல்கருதித் திங்கள் இருளைப் பகல்வர,𑀇𑀓𑀮𑀺𑀓𑀭𑀼𑀢𑀺𑀢𑀺 𑀢𑀺𑀗𑀺𑀓𑀴𑀺 𑀇𑀭𑀼𑀴𑁄𑀧𑀺 𑀧𑀓𑀮𑀺𑀯𑀭
வெண்ணிலாக் காலும் மருள்மாலை வேய்த்தோளாய்,𑀯𑁂𑀡𑀺𑀡𑀺𑀮𑀸𑀓𑀺 𑀓𑀸𑀮𑀼𑀫𑀺 𑀫𑀭𑀼𑀴𑀺𑀫𑀸𑀮𑁄 𑀯𑁃𑀬𑀺𑀢𑀺𑀢𑁆𑀴𑀸𑀬𑀺
உள் நிலாது என்ஆவி யூர்ந்து,𑀉𑀴𑀺 𑀦𑀺𑀮𑀸𑀢𑀼 𑀏𑀦𑁆𑀦𑀺𑀆𑀯𑀺 𑀬𑀽𑀭𑀺𑀦𑀺𑀢𑀼
மேல்நோக்கி வெங்கதிரோன் மத்தியநீர் கீழ் நோக்கிக்,𑀫𑁃𑀮𑀺𑀦𑁆𑀓𑀺𑀓𑀺 𑀯𑁂𑀗𑀺𑀓𑀢𑀺𑀭𑁆𑀦𑁆𑀦𑀺 𑀫𑀢𑀺𑀢𑀺𑀬𑀦𑀻𑀭𑀺 𑀓𑀻𑀰𑀺 𑀦𑁆𑀓𑀺𑀓𑀺𑀓𑀺
கால்நோக்கம் கொண்டழகாக் காண்மடவாய் மானோக்கி,𑀓𑀸𑀮𑀺𑀦𑁆𑀓𑀺𑀓𑀫𑀺 𑀓𑁅𑀡𑀺𑀝𑀰𑀓𑀸𑀓𑀺 𑀓𑀸𑀡𑀺𑀫𑀝𑀯𑀸𑀬𑀺 𑀫𑀸𑀦𑁆𑀦𑁆𑀓𑀺𑀓𑀺
போதாரி வண்டெலாம் நெட்டெழுத்தின் மேல்புரிய,𑀧𑁆𑀢𑀸𑀭𑀺 𑀯𑀡𑀺𑀝𑁂𑀮𑀸𑀫𑀺 𑀦𑁂𑀝𑀺𑀝𑁂𑀰𑀼𑀢𑀺𑀢𑀺𑀦𑁆𑀦𑀺 𑀫𑁃𑀮𑀺𑀧𑀼𑀭𑀺𑀬
சாதாரி நின்றறையுஞ் சார்ந்து,𑀘𑀸𑀢𑀸𑀭𑀺 𑀦𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀭𑁆𑀭𑁄𑀬𑀼𑀜𑀺 𑀘𑀸𑀭𑀺𑀦𑀺𑀢𑀼
இருள்பரந்து ஆழியான் தன்னிறம்போல் தம்முன்,𑀇𑀭𑀼𑀴𑀺𑀧𑀭𑀦𑀺𑀢𑀼 𑀆𑀰𑀺𑀬𑀸𑀦𑁆𑀦𑀺 𑀢𑀦𑁆𑀦𑀺𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀫𑀺𑀧𑁆𑀮𑀺 𑀢𑀫𑀺𑀫𑀼𑀦𑁆𑀦𑀺
அருள்பரந்த ஆய்நிறம் போன்றும் மருள்பரந்த,𑀅𑀭𑀼𑀴𑀺𑀧𑀭𑀦𑀺𑀢 𑀆𑀬𑀺𑀦𑀺𑀭𑁆𑀭𑀫𑀺 𑀧𑁆𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀼𑀫𑀺 𑀫𑀭𑀼𑀴𑀺𑀧𑀭𑀦𑀺𑀢
பால்போலும் வெண்ணிலவும் பையர அல்குலாய்,𑀧𑀸𑀮𑀺𑀧𑁆𑀮𑀼𑀫𑀺 𑀯𑁂𑀡𑀺𑀡𑀺𑀮𑀯𑀼𑀫𑀺 𑀧𑁄𑀬𑀭 𑀅𑀮𑀺𑀓𑀼𑀮𑀸𑀬𑀺
வேல்போலும் வீழ் துணைஇ லார்க்கு,𑀯𑁃𑀮𑀺𑀧𑁆𑀮𑀼𑀫𑀺 𑀯𑀻𑀰𑀺 𑀢𑀼𑀡𑁄𑀇 𑀮𑀸𑀭𑀺𑀓𑀺𑀓𑀼
பாழிபோல் மாயவன்தன் பற்றார் களிற்றெறிந்த,𑀧𑀸𑀰𑀺𑀧𑁆𑀮𑀺 𑀫𑀸𑀬𑀯𑀦𑁆𑀦𑀺𑀢𑀦𑁆𑀦𑀺 𑀧𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀸𑀭𑀺 𑀓𑀴𑀺𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑁂𑀭𑁆𑀭𑀺𑀦𑀺𑀢
வாழிபோல் ஞாயிறு கல்சேரத் தோழி,𑀯𑀸𑀰𑀺𑀧𑁆𑀮𑀺 𑀜𑀸𑀬𑀺𑀭𑁆𑀭𑀼 𑀓𑀮𑀺𑀘𑁃𑀭𑀢𑀺 𑀢𑁆𑀰𑀺
மான்மாலை தம்முன் நிறம்போல் மதிமுளைப்ப,𑀫𑀸𑀦𑁆𑀦𑀺𑀫𑀸𑀮𑁄 𑀢𑀫𑀺𑀫𑀼𑀦𑁆𑀦𑀺 𑀦𑀺𑀭𑁆𑀭𑀫𑀺𑀧𑁆𑀮𑀺 𑀫𑀢𑀺𑀫𑀼𑀴𑁄𑀧𑀺𑀧
யான்மாலை ஆற்றேன் நினைந்து,𑀬𑀸𑀦𑁆𑀦𑀺𑀫𑀸𑀮𑁄 𑀆𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑁃𑀦𑁆𑀦𑀺 𑀦𑀺𑀦𑁆𑀦𑁄𑀦𑀺𑀢𑀼
வீயும் வியப்புறவின் வீழ்துளியால் மாக்கடுக்கை,𑀯𑀻𑀬𑀼𑀫𑀺 𑀯𑀺𑀬𑀧𑀺𑀧𑀼𑀭𑁆𑀭𑀯𑀺𑀦𑁆𑀦𑀺 𑀯𑀻𑀰𑀺𑀢𑀼𑀴𑀺𑀬𑀸𑀮𑀺 𑀫𑀸𑀓𑀺𑀓𑀝𑀼𑀓𑀺𑀓𑁄
நீயும் பிறரொடும்காண் நீடாதே ஆயும்,𑀦𑀻𑀬𑀼𑀫𑀺 𑀧𑀺𑀭𑁆𑀭𑀭𑁅𑀝𑀼𑀫𑀺𑀓𑀸𑀡𑀺 𑀦𑀻𑀝𑀸𑀢𑁃 𑀆𑀬𑀼𑀫𑀺
கழலாகிப் பொன்வட்டாய்த் தாராய் மடலாய்க்,𑀓𑀰𑀮𑀸𑀓𑀺𑀧𑀺 𑀧𑁅𑀦𑁆𑀦𑀺𑀯𑀝𑀺𑀝𑀸𑀬𑀺𑀢𑀺 𑀢𑀸𑀭𑀸𑀬𑀺 𑀫𑀝𑀮𑀸𑀬𑀺𑀓𑀺
குழலாகிக் கோல்சுரியாய்க் கூர்ந்து,𑀓𑀼𑀰𑀮𑀸𑀓𑀺𑀓𑀺 𑀓𑁆𑀮𑀺𑀘𑀼𑀭𑀺𑀬𑀸𑀬𑀺𑀓𑀺 𑀓𑀽𑀭𑀺𑀦𑀺𑀢𑀼
பொன்வாளால் காடில் கருவரை போர்த்தாலும்,𑀧𑁅𑀦𑁆𑀦𑀺𑀯𑀸𑀴𑀸𑀮𑀺 𑀓𑀸𑀝𑀺𑀮𑀺 𑀓𑀭𑀼𑀯𑀭𑁄 𑀧𑁆𑀭𑀺𑀢𑀺𑀢𑀸𑀮𑀼𑀫𑀺
என்வாளா என்றி இலங்கெயிற்றாய் என் வாள்போல்,𑀏𑀦𑁆𑀦𑀺𑀯𑀸𑀴𑀸 𑀏𑀦𑁆𑀦𑀺𑀭𑁆𑀭𑀺 𑀇𑀮𑀗𑀺𑀓𑁂𑀬𑀺𑀭𑁆𑀭𑀺𑀭𑁆𑀭𑀸𑀬𑀺 𑀏𑀦𑁆𑀦𑀺 𑀯𑀸𑀴𑀺𑀧𑁆𑀮𑀺
வாள்இழந்த கண்தோள் வனம்பிழந்த மெல்விரலும்,𑀯𑀸𑀴𑀺𑀇𑀰𑀦𑀺𑀢 𑀓𑀡𑀺𑀢𑁆𑀴𑀺 𑀯𑀦𑁆𑀦𑀫𑀺𑀧𑀺𑀰𑀦𑀺𑀢 𑀫𑁂𑀮𑀺𑀯𑀺𑀭𑀮𑀼𑀫𑀺
நாள்இழந்த எண்மிக்கு நைந்து,𑀦𑀸𑀴𑀺𑀇𑀰𑀦𑀺𑀢 𑀏𑀡𑀺𑀫𑀺𑀓𑀺𑀓𑀼 𑀦𑁄𑀦𑀺𑀢𑀼
